Tipo de dia,Sentido,Parada,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Dom. y Fest.,Vuelta,[365] A–orga Txiki II,,,,,,,,,,0,,0,0,,,0,0,0,,,,,,
Dom. y Fest.,Vuelta,[46] Amerika Plaza (L5-24-25),,,,,,,,,,2,4,4,4,3,2,3,2,2,4,5,3,2,1,
Dom. y Fest.,Vuelta,[45] Tolosa 111 (L5-24-25),,,,,,,,,,2,3,12,6,6,4,2,5,5,8,4,5,3,1,1
Dom. y Fest.,Vuelta,[44] Unibertsitatea Tol.77 (L5-25),,,,,,,,,,1,3,7,4,4,2,1,2,5,5,1,3,1,2,0
Dom. y Fest.,Vuelta,[43] Magisterio (L5-24-25-33-35-40),,,,,,,,,,5,7,15,8,8,8,5,8,12,8,8,7,6,3,
Dom. y Fest.,Vuelta,[42] Zumalaka.21(L5-24-25-33-35-40),,,,,,,,,,4,5,11,7,7,5,3,4,5,7,7,11,4,3,0
Dom. y Fest.,Vuelta,[41] Esklabak (L5-25-35),,,,,,,,,,1,3,10,7,7,3,4,5,7,15,5,3,6,2,0
Dom. y Fest.,Vuelta,[40] Ondarreta (L5-25 ),,,,,,,,,,1,4,7,10,13,14,5,8,10,14,9,9,5,1,0
Dom. y Fest.,Vuelta,[39] San Martin 57,,,,,,,,,,,0,1,1,1,0,0,1,0,0,1,0,0,,
Dom. y Fest.,Vuelta,[38] B.Pastor(L5-16-18-25-31-33-40),,,,,,,,,,,0,1,2,2,,0,1,1,0,4,1,2,,
Dom. y Fest.,Vuelta,[37] Okendo 5,,,,,,,,,,,1,2,5,2,2,1,0,0,2,1,3,1,,0
